Course Number,Course Name,Course Description,Course Link,Agency,Prerequisites,Course Type,Course Length,Tier,,,,,,,,,,,,,,,,,,
AWR-934-V3,HCV3 - Special Needs Population Considerations During Emergency Response,"Course Overview:

Provides an overview of the requirements, capabilities, and considerations necessary to ensure special needs population requirement are addressed during planning, preparedness, response, and recovery.",AWR-934-V3: HCV3 - Special Needs Population Considerations During Emergency Response,Centers for Domestic Preparedness (CDP),No,Online,1 Hour,"2, 3, and 4",,,,,,,,,,,,,,,,,,
AWR-934-V4,HCV4 - Medical Surge Management,"Course Overview:

Medical Surge Management - examines the process for medical management of the immediate response phase of a mass trauma event. Explores considerations and challenges of establishing triage and life-saving interventions at the scene, transition of patients to healthcare facilities, and the prioritization and providing of emergency, life-saving treatment at a healthcare facility to do the most good for the most patients.",AWR-934-V4: HCV4 - Medical Surge Management,Centers for Domestic Preparedness (CDP),No,Online,2 Hours,"2, 3, and 4",,,,,,,,,,,,,,,,,,
AWR-934-V5,"HCV5 - Federal, State, and Local Roles in Medical Emergency Response","Course Overview:

Federal, State, and Local Roles in Medical Emergency Response explores the roles of local, state, and Federal governments and entities in supporting and enabling effective community-based response and recovery to a health or medical emergency. The instruction emphasizes the critical importance of multi-level coordination to optimize community health system response and recovery.","AWR-934-V5: HCV5 - Federal, State, and Local Roles in Medical Emergency Response",Centers for Domestic Preparedness (CDP),No,Online,1 Hour,"2, 3, and 4",,,,,,,,,,,,,,,,,,
AWR-934-V7,HCV7 - Hospital Incident Command System,"Course Overview:

Hospital Incident Command System is an introduction to the National Incident Management System and the National Response Framework and explores the Hospital Incident Command System as a methodology for effectively applying the incident command system in a healthcare environment. The Hospital Incident Command System is discussed as it pertains to improving emergency management planning, response, and recovery capabilities for both planned and unplanned health and medical emergencies.",AWR-934-V7: HCV7 - Hospital Incident Command System,Centers for Domestic Preparedness (CDP),No,Online,2 Hours,3 and 4,,,,,,,,,,,,,,,,,,
AWR-934-V8,HCV8 - Healthcare Facility Preparedness,"Course Overview:

Healthcare Facility Preparedness examines the requirements and considerations for preparing a community and associated healthcare facilities to capably respond to and recover from a health or medical emergency. The instruction explores topics such as effective coordination, communication, and establishment of a common operating picture; understandings and agreements with relevant private sector, volunteer, and non-governmental organizations; caching and sharing of critical resources; planning considerations for addressing at-risk and special needs populations; and joint training and exercises to validate and improve community capabilities. ",AWR-934-V8: HCV8 - Healthcare Facility Preparedness,Centers for Domestic Preparedness (CDP),No,Online,1 Hour,3 and 4,,,,,,,,,,,,,,,,,,
PER-321-V2,HIDV2 - Pathogens of Special Concern,"Course Overview:

A discussion of characteristics and patient management considerations for pathogens of special concern based on transmissibility and mortality.",PER-321-V2: HIDV2 - Pathogens of Special Concern,Centers for Domestic Preparedness (CDP),No,Online,1 Hour,3 and 4,,,,,,,,,,,,,,,,,,
PER-321-V4,HIDV4 - Patient Management: Management of a Highly Infectious Disease Patient in a Healthcare Facility,"Course Overview:

A discussion of the critical processes, procedures, and considerations for safely managing a highly infectious disease patient in a healthcare facility.",PER-321-V4: HIDV4 - Patient Management: Management of a Highly Infectious Disease Patient in a Healthcare Facility,Centers for Domestic Preparedness (CDP),No,Online,3 Hours,3 and 4,,,,,,,,,,,,,,,,,,
AWR-935-V1,HMTV1 - Hazardous Materials Response Planning and Management,"Course Overview:

An examination of the task organization, process, and procedures for tactical planning and management of a hazardous materials incident response. Addresses the organization, roles, and responsibilities of a Hazardous Materials Branch or Group and provides a detailed analysis of the five phases of the tactical response process to include assessment and analysis, planning, implementation, evaluation, and termination.",AWR-935-V1: HMTV1 - Hazardous Materials Response Planning and Management,Centers for Domestic Preparedness (CDP),No,Online,2 Hours,3 and 4,,,,,,,,,,,,,,,,,,
AWR-935-V2,HMTV2 - Hazardous Materials Personal Protective Equipment Determination and Considerations,"Course Overview:

A comprehensive examination of the requirements and considerations for determining appropriate personal protective equipment (PPE) for a hazardous materials response. Discusses the OSHA and NFPA categorization of hazardous materials PPE; factors in determining required PPE to stock on-hand based on community hazards and threats, and for a specific incident; determining chemical compatibility of PPE items for an identified substance using various resources and tools; limitations of structural firefighting equipment in hazardous materials response; and medical screening, respirator fit testing, and other considerations for operations and management of personnel required to wear PPE.",AWR-935-V2: HMTV2 - Hazardous Materials Personal Protective Equipment Determination and Considerations,Centers for Domestic Preparedness (CDP),No,Online,1 Hour,3 and 4,,,,,,,,,,,,,,,,,,
AWR-935-V3,HMTV3 - Hazardous Materials Decontamination Determination and Operation,"Course Overview:

A discussion of the capabilities, requirements, and considerations for determining appropriate decontamination methods and means for a hazardous materials response. Examines the types, methods, and application of decontamination; reviews responder decontamination procedures (emergency and technical); reviews patient decontamination procedures (self-care, mass, and technical); decontamination site selection considerations; and the evaluation of the effectiveness of decontamination procedures.",AWR-935-V3: HMTV3 - Hazardous Materials Decontamination Determination and Operation,Centers for Domestic Preparedness (CDP),No,Online,1.5 Hours,3 and 4,,,,,,,,,,,,,,,,,,
MGT-902-V1,MPIV1 - Public Information for All Hazard Incidents,"Course Overview:

Addresses the responsibilities of the Public Information Officer and the media's role in disseminating public information during emergencies to include crisis and emergency risk communication planning.",MGT-902-V1: MPIV1 - Public Information for All Hazard Incidents,Centers for Domestic Preparedness (CDP),No,Online,2 Hours,"2, 3, and 4",,,,,,,,,,,,,,,,,,
MGT-902-V2,MPIV2 - Emergency Management and the Public Information Officer,"Course Overview:

Provides the responder with an overview of the national emergency response system, which includes the National Incident Management System (NIMS), the Incident Command System (ICS), and the relationship between these systems.",MGT-902-V2: MPIV2 - Emergency Management and the Public Information Officer,Centers for Domestic Preparedness (CDP),No,Online,1 Hour,3 and 4,,,,,,,,,,,,,,,,,,
MGT-902-V3,MPIV3 - Emergency Communication Methods,,,,,,,,,,,,,,,,,,,,,,,,,
MGT-902-V10,MPIV10 - Public Information Functions,"Course Overview:

Addresses the Joint Information System (JIS) and its working entity, the Joint Information Center (JIC), which is used during a unified response to an emergency or disaster. It further defines the roles and responsibilities of the members of the JIC and how each is related to reaching the public with vital emergency information.",MGT-902-V10: MPIV10 - Public Information Functions,Centers for Domestic Preparedness (CDP),No,Online,1.5 Hours,"2, 3, and 4",,,,,,,,,,,,,,,,,,
MGT-902-V4,MPIV4 - Media Relations and Press Conferences,"Course Overview:

Explains the Public Information Officer (PIO)'s responsibility to effectively plan for media reaction during routine as well as emergency situations, including how to contact local, regional, and national media outlets that can be instrumental in reaching the public with emergency information. Further explains how to prepare speakers for a press conference.",MGT-902-V4: MPIV4 - Media Relations and Press Conferences,Centers for Domestic Preparedness (CDP),No,Online,1 Hour,3 and 4,,,,,,,,,,,,,,,,,,
MGT-902-V6,MPIV6 - Interpersonal Skills for Public Information Officers,"Course Overview:

Provides the responder with an understanding of the dynamics of working with others and obtaining the best from other people. Discusses handling day-to-day relationships, self- awareness, interpersonal skills, motivation, conflict styles, and how to use this knowledge to perform the mission as a Public Information Officer (PIO). Further explains methods of recognizing and dealing with stress reactions.",MGT-902-V6: MPIV6 - Interpersonal Skills for Public Information Officers,Centers for Domestic Preparedness (CDP),No,Online,1.5 Hours,"2, 3, and 4",,,,,,,,,,,,,,,,,,
MGT-902-V7,MPIV7 - Communicating Effectively in an Emergency,"Course Overview:

Addresses aspects associated with communicating with the public during emergencies. These aspects include the mapping of critical messages, debunking myths, and the needs of the media. The requirements of Public Information Officers (PIO) are also examined, along with the personnel and equipment they may need for the successful completion of their function.",MGT-902-V7: MPIV7 - Communicating Effectively in an Emergency,Centers for Domestic Preparedness (CDP),No,Online,1.5 Hours,"2, 3, and 4",,,,,,,,,,,,,,,,,,
MGT-902-V8,MPIV8 - Writing Exercise,"Course Overview:

Addresses different types and styles of written products use for public information. Participants practice writing a message map and a press release as practical application.",MGT-902-V8: MPIV8 - Writing Exercise,Centers for Domestic Preparedness (CDP),No,Online,2 Hours,3 and 4,,,,,,,,,,,,,,,,,,
MGT-902-V9,MPIV9 - Legal Issues in Public Information,"Course Overview:

Addresses legal issues associated with public information and information release. By understanding laws such as the Freedom of Information Act (FOIA); open records and the Health Insurance Portability and Accountability Act (HIPAA), the person in charge of managing public information can take precautions to protect his or her organization and act appropriately to provide information during an emergency.",MGT-902-V9: MPIV9 - Legal Issues in Public Information,Centers for Domestic Preparedness (CDP),No,Online,1 Hour,3 and 4,,,,,,,,,,,,,,,,,,
AWR-933-V10,OLS-V10 - Elastomeric Reusable Respirators - A solution to PPE Shortages,"Course Overview:

This presentation will highlight the pros and cons of starting a reusable respirator program. It will discuss the components needed for the program to be successful and highlight several types of filters/cartridges that can be used to protect against coronaviruses and other biologic agents.",AWR-933-V10: OLS-V10 - Elastomeric Reusable Respirators - A Solution to PPE Shortages,Centers for Domestic Preparedness (CDP),No,Online,1 Hour,3 and 4,,,,,,,,,,,,,,,,,,
AWR-933-V12,OLS-V12 - Emerging and Resurging Infectious Diseases,"Course Overview:

Emerging and Resurging Infectious Diseases will provide a contextual understanding of the nature of emergent and resurgent diseases and a practical approach for mitigating the risks associated with infection. Discussion will include the emergence and resurgence of a variety of infectious diseases including Zika Virus, Chikungunya, Ebola, Enterovirus D68, Measles, MERS, drug-resistant shigellosis, cyclosporiasis, Highly Pathogenic Avian Influenza, COVID 19, and extensively drug resistant (XDR) TB. Also discussed will be how the awareness of the modes of contagion, the risks of infection, and the appropriate means of protection from the point of contact to presentation at a healthcare facility is critical to protect the well-being of patients and providers.",AWR-933-V12: OLS-V12 - Emerging and Resurging Infectious Diseases,Centers for Domestic Preparedness (CDP),No,Online,1 Hour,3 and 4,,,,,,,,,,,,,,,,,,
AWR-933-V15,"OLS-V15 - Mass Violence Toolkit (MVT) Preplanning, Response and Recovery","Course Overview:

Mass Violence Toolkit (MVT) Preplanning, Response and Recovery will discuss how significant events resulting in mass violence affect us all, directly and indirectly. While we can never be fully prepared for future unknowns, we can establish effective community partnerships and build comprehensive response and recovery plans. The Mass Violence Toolkit (MVT) is a comprehensive online resource that will assist local officials and responders in establishing effective response plans and community partnerships.","AWR-933-V15: OLS-V15 - Mass Violence Toolkit (MVT) Preplanning, Response  and Recovery",Centers for Domestic Preparedness (CDP),No,Online,1 Hour,3 and 4,,,,,,,,,,,,,,,,,,
AWR-933-V16,OLS-V16 - Partnering with Voluntary Organizations Active in Disasters (VOAD) for Disaster Response and Recovery,"Course Overiew:

Partnering with Voluntary Organizations Active in Disasters (VOAD) for Disaster Response and Recovery will discuss Whole Community Approach to Emergency Management, VOAD organizations and other community-based organizations/non-profit organizations as key partners in response and recovery efforts. The audience will gain a better understanding of VOAD organizations, their role in response and recovery efforts, formal organizational structures of VOAD groups, and, strategies for partnership.",AWR-933-V16: OLS-V16 - Partnering with Voluntary Organizations Active in Disasters (VOAD) for Disaster Response and Recovery,Centers for Domestic Preparedness (CDP),No,Online,1 Hour,3 and 4,,,,,,,,,,,,,,,,,,
AWR-933-V18,OLS-V18 - Suspicious Activity Reporting - Working with your Fusion Center,"Course Overview:

Suspicious Activity Reporting - Working with your Fusion Center will introduce the audience to the need for suspicious activity reporting and cover some components to a Suspicious Activity Reporting (SAR) policy. In addition, it will provide an overview of how first responders can integrate with their Fusion Centers and discuss different roles that they may play in information gathering. How first responders can improve their situational awareness will also be discussed.",AWR-933-V18: OLS-V18 - Suspicious Activity Reporting - Working with Your Fusion Center,Centers for Domestic Preparedness (CDP),No,Online,1 Hour,3 and 4,,,,,,,,,,,,,,,,,,
AWR 933-V2,OLS-V2 - Critical Incident Stress Debriefing (CISD): We Need It More Than We Know,"Course Overview:

Discusses how stress kills people every day, including Police Officers, Firefighters, EMS, and hospital personnel. CISD helps reduce many types of stress by participating in either defusing/debriefing sessions or both following a tragic, traumatic, and sometimes gruesome emergency scene, response, or situation.",AWR-933-V2: OLS-V2 - Critical Incident Stress Debriefing (CISD): We Need It More Than We Know,Centers for Domestic Preparedness (CDP),No,Online,1 Hour,3 and 4,,,,,,,,,,,,,,,,,,
AWR-933- V3,OLS-V3 - Hazmat and Decontamination During Storm Response: How It Affects Us All,"Course Overview:

Discusses how flood water caused by hurricanes, heavy rain, or a broken dam can contain hazardous materials and how we protect and decontaminate ourselves in these responses.",AWR-933-V3: OLS-V3 - Hazmat and Decontamination During Storm Response: How It Affects Us All,Centers for Domestic Preparedness (CDP),No,Online,1 Hour,3 and 4,,,,,,,,,,,,,,,,,,
AWR-933-V4,OLS-V4 - Hospital Planning for Mass Casualty Incident Surges: Natural Disasters,"Course Overview:

Provides guidance in planning for operational response(s) related to naturally occurring Mass Casualty Incidents (Hurricanes, Tornados, Earthquake, etc.) in terms of number and types of casualties, casualty acuity, types of injuries to anticipate staffing, logistical, and surgical needs.",AWR-933-V4: OLS-V4 - Hospital Planning for Mass Casualty Incident Surges: Natural Disasters,Centers for Domestic Preparedness (CDP),No,Online,1 Hour,3 and 4,,,,,,,,,,,,,,,,,,
AWR-933-V7,OLS-V7 - Psychological Preparedness for Responders,"Course Overview:

Reviews common examples of situations encountered by emergency responders with a tendency to cause stress and/or stress-induced psychological trauma. The audience will gain knowledge of stress disorder causes, signs and symptoms of stress-induced psychological trauma, and multiple coping methods for stress and stress disorders.",AWR-933-V7: OLS-V7 - Psychological Preparedness for Responders,Centers for Domestic Preparedness (CDP),No,Online,1 Hour,3 and 4,,,,,,,,,,,,,,,,,,
AWR-933-V8,OLS-V8 - The Effective Use of Social and Traditional Media During Emergencies,"Course Overview:

Focuses on the role of media during disaster/emergency situations and how to plan for the interaction. Additionally, there will be discussion encouraging agency communicators to evaluate their current plans for public information and ensure the plans have the appropriate balance of social and traditional media outreach. It will also encourage agencies that do not have a robust social media presence to increase their online presence to meet the needs of the communities they serve during disasters.",AWR-933-V8: OLS-V8 - The Effective Use of Social and Traditional Media During Emergencies,Centers for Domestic Preparedness (CDP),No,Online,1 Hour,3 and 4,,,,,,,,,,,,,,,,,,
CSAT-01-2021,Cyber Security Awareness Training (DSHS Version - Year 2021),,,,,,,,,,,,,,,,,,,,,,,,,
CSAT-02-2021,Cyber Security Awareness Training (Hidalgo County Version - Year 2021),,,,,,,,,,,,,,,,,,,,,,,,,
THS-2021,TB-HIV-STD Security Training 2021,,,,,,,,,,,,,,,,,,,,,,,,,
CSAT-01-2022,Cyber Security Awareness Training (DSHS Version - Year 2022),,,,,,,,,,,,,,,,,,,,,,,,,
HIPAA-2022,HIPAA and Texas Medical Records Privacy - 2022,,,,,,,,,,,,,,,,,,,,,,,,,
CHR-001,Leadership Basics Training - Hidalgo County Human Resources Department,,,,,,,,,,,,,,,,,,,,,,,,,
THS-2022,TB-HIV-STD Security Training 2022,,,,,,,,,,,,,,,,,,,,,,,,,
ECRP-101,Employee Conflict Resolution Progressive Discipline,,,,,,,,,,,,,,,,,,,,,,,,,
CSAT-01-2023,Cyber Security Awareness Training (DSHS Version - Year 2023),"Course Overview:

This course consists of the following modules:

- Module 1 - Introduction
- Module 2 - Protecting Confidential Information
- Module 3 - Protecting Information Resources
- Module 4 - Threats and Vulnerabilities
- Module 5 - Reporting
- Module 6 - Summary & Assessment

Course Objectives:

By the end of this training, you will be able to:

- Identify employee and supervisor responsibilities as they relate to using HHS Information Resources
- Identify the three types of data classification
- Recognize how to protect data, including confidential data
- Understand expectation of privacy when using HHS information resources
- Identify security threats, concerns, and procedures for reporting incidents
- Identify federal agencies that share data with HHS
- Identify the steps in replying to external requests with emails that contain confidential information
- Recognize specific types of attacks, such as phishing
- Understand reportable indicators of insider threats
- Identify common targets of social engineering attacks",CSAT-01-2023: Cyber Security Awareness Training (DSHS Version - 2023),DSHS,No,Online,1 Hour,"1, 2, 3, and 4",,,,,,,,,,,,,,,,,,
THS-2023,TB-HIV-STD Security Training 2023,"Course Overview:

This training provides an overview of privacy, confidentiality and cybersecurity practices for dealing with client personal and private information.
It is designed for all persons including DSHS and Non-DSHS staff, volunteers, contractors, facility management staff, etc. who work around or have access to TB, HIV and STD program information.

Course Objectives:

The learning objectives in this course include:

- Basic information about HIPAA Privacy and Security
- Privacy Incident Terminology
- How to file a Privacy Incident Report
- How to protect client information
- Cybersecurity Awareness
- Information Security threats and concerns
- Identifying social engineering attacks",THS-2023: TB-HIV-STD Security Training 2023,DSHS,No,Online,1 Hour,"1, 2, 3, and 4",,,,,,,,,,,,,,,,,,
OBHP-HCT,Operation Border Health Preparedness HIPAA Compliance Training,"Course Objectives:

Participants will be able to successfully:

- Review what information is protected by HIPAA and who must comply with the Act.
- Describe what Operation Border Health Preparedness (OBHP) volunteers must do to comply with HIPAA
- Identify special challenges in adhering to HIPAA in a mass care situation.",OBHP HIPAA Compliance Training,DSHS,No,Online,1 Hour,"1, 2, 3, and 4",,,,,,,,,,,,,,,,,,
OBHP-NSST,Operation Border Health Preparedness Needle Sticks and Splashes Training,"Course Objectives:

Participants will be able to successfully:

- Describe how bloodborne pathogens are spread in the workplace
- Describe two risk factors that increase the likelihood for sharp injuries in a mass care setting
- Describe three key components in the OBHP Bloodborne Pathogen Exposure Control Plan
- Describe the 3 key steps to take in the event of an occupational exposure",OBHP Needle Sticks and Splashes Training,DSHS,No,Online,1 Hour,"1, 2, 3, and 4",,,,,,,,,,,,,,,,,,
HCHD-HT,HIPAA Compliance Training,,HCHHSD - HIPAA Compliance Training,HIPAATraining.com,No,Online,1 Hour,"1, 2, 3, and 4",,,,,,,,,,,,,,,,,,
AWR401,Threat and Hazard Identification and Risk Assess and Stakeholder Preparedness Review,"Course Overview:

This course introduces the six-step THIRA/SPR process which includes identifying threats and hazards that stress a community's capabilities, giving context to those threats and hazards and identifying associated impacts consistent with specific factors, identifying community-specific capability targets, assessing current levels of capability in comparison to those targets, identifying capability gaps and subsequent strategies to close those gaps.

Successful completion of the course will assist local emergency responders and stakeholders in generating actionable preparedness data that communities can use to support a variety of emergency management efforts, including planning, training, exercises, and incident response and recovery. THIRA/SPR-informed planning is consistent with and expands on nationally accepted emergency management standards as the basis for planning across the mission areas of prevention, protection, mitigation, response, and recovery.

Course Objectives:

- Summarize the Threat and Hazard Identification and Risk Assessment (THIRA) and Stakeholder Preparedness Review (SPR) process.
- Identify specific hazards related to the community by applying principles and concepts related to threat and hazard groups, sources of hazard information, and the factors to consider for threat and hazard selection.
- Write threat and hazard context descriptions and estimate impacts of the threats and hazards.- 
- Develop core capability target statements which describe the level of capability a community plans to achieve for each of the 32 core capabilities.
- Assess current capability levels and how community capabilities have changed over the last year.
- Determine capability gaps and a subsequent approaches for addressing gaps and sustainment needs using the POETE (Planning, Organization, Equipment, Training, and Exercises) Model.
- Assess the extent to which relevant funding sources played a role in building and sustaining the capabilities assessed by the capability targets and describe the impact that capabilities built or sustained by FEMA preparedness or mitigation grants had in real-world incidents over the past year.
- Produce a sample THIRA and SPR for a given scenario.",AWR401 - Threat & Hazard Identification & Risk Assess & Stakeholder Preparedness Review,TEEX,No,Online,9 Hours,3 and 4,,,,,,,,,,,,,,,,,,
AWR111,Internet-Basic EMS Concepts for CBRNE Events,"Course Overview:

Basic Emergency Medical Services (EMS) Concepts for Chemical, Biological, Radiological, Nuclear, and Explosive (CBRNE) Events (AWR-111-W) is a web-based course that introduces students to medical knowledge relating to Chemical, Biological, Radiological, Nuclear, and Explosive (CBRNE) Events. Subjects include signs and symptoms of exposure to CBRNE agents, treatment protocols for contact with these agents and information about Emergency Medical Services role in the Incident Command System. The program is recommended before attending a PER-211 Medical Management of Chemical, Biological, Radiological, Nuclear, and Explosive (CBRNE) Event course, or it can be completed by someone looking for an introduction into this topic.

Course Objectives:

- At the conclusion of this self-paced course, the student will be able to explain Emergency Medical Services (EMS) management issues, responder consideration, and medical treatments for applications to Chemical, Biological, Radiological, Nuclear, and Explosive (CBRNE) events.
- The student will be able to identify the Command and General staff positions, as well as describe the functions of triage, treatment, and transport groups.
- The student will be able to identify and apply information gathering and responder safety concepts pertaining to a hazardous materials response to Chemical, Biological, Radiological, Nuclear, and Explosive (CBRNE) events.
- The student will be able to recognize signs and symptoms associated with various Chemical, Biological, Radiological, Nuclear, and Explosive (CBRNE) agents and identify basic responder precautions.",AWR111 - Internet-Basic EMS Concepts for CBRNE Events,TEEX,No,Online,3 Hours,3 and 4,,,,,,,,,,,,,,,,,,
MGT348,Medical Preparedness and Response for Bombing Incidents,"Course Overview:

Essential first responder/first receiver personnel who would be involved in the medical response to an explosive incident will be introduced to real world event case studies and research-based information designed to enhance medical preparedness for and response to blast effects. This dual audience/dual level course includes a Management and Planning level section focused on pre-incident indications of bombing incidents, bombing incident scene safety and security, and resource management for bombing incidents and a Performance level section focused on bombing incident injury patterns and treatment, managing the medical response for bombing incidents, and the planning, training, and exercise cycle for bombing incidents.

Course Objectives:

- Explain how to apply the lessons learned from the London bombing to help prevent and/or respond to a possible local bombing incident.
- Identify and explain the threats posed by terrorists' use of explosives against U.S. domestic targets.
- Identify commonly used explosives, explosive devices, and basic blast physics.
- Recognize and identify indicators of an imminent attack.
- Safely conduct appropriate preventive, preparatory, and response actions during both the pre- and post-detonation periods of a bombing incident.
- Recognize bombing injuries and identify appropriate triage and treatment modalities.
- Take strategic and command issues into consideration when engaging in planning and improvement processes related to the prevention of, response to, and recovery from bombing incidents.
- Demonstrate an understanding of key response issues to a major bombing incident.

Prequisites:

- IS-100: Introduction to the Incident Command System
- IS-200: ICS for Single Resources and Initial Action Incidents
- IS-700: National Incident Management System, An Introduction",MGT348 - Medical Preparedness and Response for Bombing Incidents,TEEX,Yes,In Person,16 Hours,3 and 4,,,,,,,,,,,,,,,,,,
PER211,"Medical Management of Chem, Bio, Radiological, Nuclear, and Explosive Events","Course Overview:

What if a catastrophic event occurs? Will you be ready? Will you need a special level of protection? Is decontamination necessary? Do you have the right medications? 
 
PER 211, Medical Management of Chemical, Biological, Radiological, Nuclear and Explosives, (CBRNE) Events answers these questions and more as you learn how to distinguish between different agents of concern that could be used in a major incident. 
 
This course is a combination of facilitated discussions, small-group exercises, Human Patient Simulator hands-on scenarios, and traditional classroom discussions. Exercises are conducted in a CBRNE scenario using both adult and pediatric Human Patient Simulators to reinforce classroom lectures and interaction.  
 
This course promotes critical thinking skills while utilizing the RAPID-Care concept. The multi-discipline make-up of the participants helps to strengthen information sharing, communications, and medical surge capabilities.

Course Objectives:

- Utilize available resources to protect themselves during a Chemical, Biological, Radiological, Nuclear, and Explosive (CBRNE) response.
- Describe the effects of chemical agents, and identify and treat the signs and symptoms of chemical agent exposure in both adult and pediatric patients in accordance with local protocol.
- Describe the effects of radiation, identify and treat the signs and symptoms of exposure in both adult and pediatric patients in accordance with local protocol, and recognize the radiological devices through which radiation can be dispersed.
- Describe the effects of biological agents, and identify and treat the signs and symptoms of biological agent exposure in both adult and pediatric patients in accordance with local protocol.
- Describe the effects resulting from an explosion and treat anticipated injuries in both adult and pediatric patients.
- Recognize the importance of an integrated whole-community approach to prevention, preparedness, response, recovery, and mitigation in the context of a Chemical, Biological, Radiological, Nuclear, and Explosive (CBRNE) incident.","PER211 - Medical Management of Chem, Bio, Radiological, Nuclear, and Explosive Events",TEEX,No,In Person,15 Hours,3 and 4,,,,,,,,,,,,,,,,,,
PER-310,Strategic National Stockpile Preparedness Course,"Course Overview:

The Strategic National Stockpile Preparedness Course (SNS) is a five-day course designed to give Federal, state, and local officials information on how to best plan and prepare for a public health emergency and how to use and manage the Strategic National Stockpile in response to a terrorist attack, natural disaster, or technological accident.

Below are some, but not all, of the critical skill sets learned during this training program:

- Understand the Division of Strategic National Stockpile (DSNS) Program, the levels of support provided by the DSNS, and the response concepts of the DSNS.
- Understand and describe the planning considerations and operational requirements for receiving, distributing, and dispensing of DSNS material.
- Understand and describe the threat agents and those antibiotics and vaccines in the DSNS Formulary that are either FDA-approved or used under an investigational new drug for those agents.
- Describe the Emergency Use Authorization, its intent, how it is obtained, and its use and limitations.
- Describe the major considerations for designing a system to quickly dispense prophylactic medications to the public to protect it from a biological attack.",PER-310: Strategic National Stockpile Preparedness Course,DSHS,No,Online,34 Hours,3 and 4,,,,,,,,,,,,,,,,,,
SNSDSO1,SNS Delivery Site Operations,"Course Overview:

This course provides medical countermeasure (MCM) planners with essential knowledge and tools necessary to develop a successful plan for delivering SNS resourses.The course focuses on design and operational considerations that enhance the distribution speed of Strategic National Stockpile materiel to points of dispensing and other points of care during an emergency. As a result, the learner will be able to develop an integrated Preparedness Plan.

Course Objectives:

At the end of this course, you will be able to:

Identify SNS delivery site building characteristics.
Describe methods to maximize delivery site throughput.
Describe delivery site warehouse building, supply and equipment needs.
Describe SNS delivery site planning considerations.",SNSDSO1 - SNS Delivery Site Operations,DSHS,No,Online,30 Hours,3 and 4,,,,,,,,,,,,,,,,,,
SNSRC5,Risk Communications for an SNS Response,"Course Overview:

Communications Planning for a Strategic National Stockpile Response provides public health planners with communications planning considerations to inform, direct, and enhance comprehensive Strategic National Stockpile (SNS) response plans.

Course Objectives:

After completion of this course the learner will be able to:

- Identify communication as a core SNS Planning and Response function.
- Describe special considerations for communicating in an SNS Response.
- Identify communication planning factors before an emergency event. ",SNSRC5 - Risk Communications for an SNS Response,DSHS,No,Online,1 Hour,3 and 4,,,,,,,,,,,,,,,,,,
SNSMMC1,SNS Material Management Considerations,"Course Overview:

The purpose of this course is to train participants how to successfully respond during an emergency requiring the receipt and distribution of large quantities of medical materiel to points of dispensing (PODS), treatment centers, or other points of care, often in rapid timeframes and in the specific configurations the receiving site can manage.

Course Objectives:

After completing this module, you will be able to:

- Describe the steps in the inventory management process.
- Describe inventory management considerations to improve medical materiel flow from the receipt, stage and store (RSS) warehouse to the regional distribution site (RDS), points of dispensing (PODs) and other points of care.",SNSMMC1 - SNS Material Management Considerations,DSHS,No,Online,0.5 Hour,3 and 4,,,,,,,,,,,,,,,,,,
1093806,SNS Federal Medical Station Orientation,"Course Overview:

The course is designed to familiarize public health partners and stakeholders with an overview of the FMS mission, capabilities, and formulary, as well as an orientation to the 50-bed and 250-bed FMS cache configurations, components of an FMS bariatric kit, and facility and logistical support requirements to successfully conduct FMS operations, and components of an FMS bariatric kit.

Course Objectives:

Upon completion of this orientation, you will be able to:

- Generalize FMS missions and capabilities
- List three facts or details associated with an FMS
- Explain the team approach to conducting an assessment of critical FMS site systems and logistical support services
- Describe the quantity and characteristics of primary and specialty beds in a 50-bed and 250-bed FMS cache
- Summarize the configuration and primary components of an FMS bariatric kit",SNS Federal Medical Station Orientation,DSHS,No,Online,0.5 Hour,3 and 4,,,,,,,,,,,,,,,,,,
1013352,Introduction to Points of Dispensing,"Course Overview:

This course will familiarize POD workers and public health personnel with the basic purpose, constitution and operations of a Point of Dispensing during a disaster. This course will cover topics such as selecting and designing a site, as well as administration and logistics issues such as supplies, staff roles and training, patient flows, operations and security. Risk communication regarding POD operations will also be discussed in this course. Finally, there will be a short discussion on the closing of a POD.

Course Objectives:

- Explain the mission and importance of points of distribution (POD) for a community during time of disaster including their role within the Strategic National Stockpile (SNS) program
- Describe the organization, equipping and staffing of a POD including the roles and responsibilities of its leadership
- Describe the operations of a POD in the context of the National Incident Management System during an emergency
- List the considerations necessary during the process of site selection and site design for a POD and the roles of the responsible individuals
- Describe the risk communications issues intrinsic in POD activation and name some effective principles critical for effective staff coordination and population mobilization
- Describe the Infection Control issues which are significant during the period of POD activation and operation
- Explain security and safety in the context of POD setup and operation during a time of disaster
- Describe training and education aspects of POD creation, maintenance and effective activation
- Describe the actions necessary during the recovery phase in shutting down a POD",Introduction to Points of Dispensing,DSHS,No,Online,5 Hours,3 and 4,,,,,,,,,,,,,,,,,,
